stakeholder,stakeholder_label,axis,stance,stance_label,n_with_stance,n_addressing_axis,stakeholder_share,corpus_share,preference_index
AIC,AI company,Regulatory approach,R4,Reduce burden,1,20,0.05,0.046,1.094
AIC,AI company,Liability allocation,L2,Shared/distributed liability,8,12,0.667,0.622,1.073
AIC,AI company,Liability allocation,L4,Federal safe harbor,2,12,0.167,0.21,0.795
AIC,AI company,Liability allocation,L1,Increase developer accountability,1,12,0.083,0.105,0.79
AIC,AI company,Liability allocation,L5,New legal framework,1,12,0.083,0.055,1.52
AIC,AI company,Reimbursement,P5,Multiple reforms,8,17,0.471,0.421,1.118
AIC,AI company,Reimbursement,P4,CMS pilot/demonstration,5,17,0.294,0.111,2.655
AIC,AI company,Reimbursement,P1,AI-specific payment pathways,3,17,0.176,0.186,0.948
AIC,AI company,Reimbursement,P2,Value-based payment,1,17,0.059,0.221,0.266
AIC,AI company,Interoperability,D2,Expand data types,6,15,0.4,0.51,0.784
AIC,AI company,Interoperability,D1,Strengthen current standards,6,15,0.4,0.334,1.196
AIC,AI company,Interoperability,D5,Federal data infrastructure,2,15,0.133,0.045,2.967
AIC,AI company,Interoperability,D4,Prevent gatekeeping,1,15,0.067,0.072,0.925
AIC,AI company,Evaluation,E3,Full lifecycle,14,18,0.778,0.789,0.986
AIC,AI company,Evaluation,E5,Federal evaluation infrastructure,2,18,0.111,0.073,1.52
AIC,AI company,Evaluation,E4,Developer-led,1,18,0.056,0.042,1.329
AIC,AI company,Evaluation,E2,Post-market monitoring primary,1,18,0.056,0.056,0.997
HIT,Health IT,Human oversight,H2,Risk-tiered oversight,87,97,0.897,0.657,1.366
HIT,Health IT,Human oversight,H1,Universal mandatory oversight,8,97,0.082,0.314,0.261
HIT,Health IT,Human oversight,H3,Recommended not mandated,2,97,0.021,0.021,0.979
HIT,Health IT,Regulatory approach,R3,Clarify existing rules,58,116,0.5,0.348,1.438
HIT,Health IT,Regulatory approach,R2,Risk-tiered adaptation,35,116,0.302,0.289,1.044
HIT,Health IT,Regulatory approach,R5,Industry self-governance,9,116,0.078,0.041,1.921
HIT,Health IT,Regulatory approach,R1,New AI-specific regulation,9,116,0.078,0.277,0.282
HIT,Health IT,Regulatory approach,R4,Reduce burden,5,116,0.043,0.046,0.941
HIT,Health IT,Liability allocation,L2,Shared/distributed liability,46,78,0.59,0.622,0.949
HIT,Health IT,Liability allocation,L4,Federal safe harbor,26,78,0.333,0.21,1.585
HIT,Health IT,Liability allocation,L5,New legal framework,3,78,0.038,0.055,0.696
HIT,Health IT,Liability allocation,L3,Current law adequate,2,78,0.026,0.008,3.094
HIT,Health IT,Liability allocation,L1,Increase developer accountability,1,78,0.013,0.105,0.124
HIT,Health IT,Reimbursement,P5,Multiple reforms,36,100,0.36,0.421,0.854
HIT,Health IT,Reimbursement,P2,Value-based payment,29,100,0.29,0.221,1.31
HIT,Health IT,Reimbursement,P1,AI-specific payment pathways,19,100,0.19,0.186,1.023
HIT,Health IT,Reimbursement,P3,Remove FFS barriers,10,100,0.1,0.061,1.647
HIT,Health IT,Reimbursement,P4,CMS pilot/demonstration,6,100,0.06,0.111,0.542
HIT,Health IT,Interoperability,D2,Expand data types,53,102,0.52,0.51,1.019
HIT,Health IT,Interoperability,D1,Strengthen current standards,35,102,0.343,0.334,1.025
HIT,Health IT,Interoperability,D4,Prevent gatekeeping,8,102,0.078,0.072,1.077
HIT,Health IT,Interoperability,D5,Federal data infrastructure,3,102,0.029,0.045,0.647
HIT,Health IT,Interoperability,D3,Patient-controlled data,3,102,0.029,0.038,0.765
HIT,Health IT,Evaluation,E3,Full lifecycle,83,101,0.822,0.789,1.041
HIT,Health IT,Evaluation,E4,Developer-led,9,101,0.089,0.042,2.112
HIT,Health IT,Evaluation,E2,Post-market monitoring primary,5,101,0.05,0.056,0.89
HIT,Health IT,Evaluation,E5,Federal evaluation infrastructure,4,101,0.04,0.073,0.548
HSP,Health system,Human oversight,H2,Risk-tiered oversight,37,46,0.804,0.657,1.224
HSP,Health system,Human oversight,H1,Universal mandatory oversight,8,46,0.174,0.314,0.555
HSP,Health system,Human oversight,H3,Recommended not mandated,1,46,0.022,0.021,1.026
HSP,Health system,Regulatory approach,R2,Risk-tiered adaptation,19,45,0.422,0.289,1.458
HSP,Health system,Regulatory approach,R3,Clarify existing rules,18,45,0.4,0.348,1.15
HSP,Health system,Regulatory approach,R1,New AI-specific regulation,6,45,0.133,0.277,0.481
HSP,Health system,Regulatory approach,R5,Industry self-governance,1,45,0.022,0.041,0.542
HSP,Health system,Regulatory approach,R4,Reduce burden,1,45,0.022,0.046,0.482
HSP,Health system,Liability allocation,L2,Shared/distributed liability,26,36,0.722,0.622,1.161
HSP,Health system,Liability allocation,L4,Federal safe harbor,6,36,0.167,0.21,0.795
HSP,Health system,Liability allocation,L1,Increase developer accountability,3,36,0.083,0.105,0.79
HSP,Health system,Liability allocation,L5,New legal framework,1,36,0.028,0.055,0.513
HSP,Health system,Reimbursement,P5,Multiple reforms,19,41,0.463,0.421,1.099
HSP,Health system,Reimbursement,P2,Value-based payment,8,41,0.195,0.221,0.881
HSP,Health system,Reimbursement,P4,CMS pilot/demonstration,7,41,0.171,0.111,1.545
HSP,Health system,Reimbursement,P1,AI-specific payment pathways,6,41,0.146,0.186,0.786
HSP,Health system,Reimbursement,P3,Remove FFS barriers,1,41,0.024,0.061,0.395
HSP,Health system,Interoperability,D2,Expand data types,18,34,0.529,0.51,1.037
HSP,Health system,Interoperability,D1,Strengthen current standards,10,34,0.294,0.334,0.879
HSP,Health system,Interoperability,D4,Prevent gatekeeping,5,34,0.147,0.072,2.03
HSP,Health system,Interoperability,D5,Federal data infrastructure,1,34,0.029,0.045,0.647
HSP,Health system,Evaluation,E3,Full lifecycle,37,44,0.841,0.789,1.065
HSP,Health system,Evaluation,E4,Developer-led,3,44,0.068,0.042,1.614
HSP,Health system,Evaluation,E2,Post-market monitoring primary,2,44,0.045,0.056,0.801
HSP,Health system,Evaluation,E5,Federal evaluation infrastructure,2,44,0.045,0.073,0.616
IND,Individual,Human oversight,H1,Universal mandatory oversight,33,62,0.532,0.314,1.696
IND,Individual,Human oversight,H2,Risk-tiered oversight,24,62,0.387,0.657,0.589
IND,Individual,Human oversight,H3,Recommended not mandated,3,62,0.048,0.021,2.238
IND,Individual,Human oversight,H4,Autonomous OK,2,62,0.032,0.008,3.979
IND,Individual,Regulatory approach,R1,New AI-specific regulation,35,64,0.547,0.277,1.977
IND,Individual,Regulatory approach,R3,Clarify existing rules,15,64,0.234,0.348,0.673
IND,Individual,Regulatory approach,R2,Risk-tiered adaptation,8,64,0.125,0.289,0.432
IND,Individual,Regulatory approach,R4,Reduce burden,4,64,0.062,0.046,1.357
IND,Individual,Regulatory approach,R5,Industry self-governance,2,64,0.031,0.041,0.763
IND,Individual,Liability allocation,L2,Shared/distributed liability,9,18,0.5,0.622,0.804
IND,Individual,Liability allocation,L5,New legal framework,3,18,0.167,0.055,3.057
IND,Individual,Liability allocation,L4,Federal safe harbor,3,18,0.167,0.21,0.795
IND,Individual,Liability allocation,L1,Increase developer accountability,3,18,0.167,0.105,1.59
IND,Individual,Reimbursement,P5,Multiple reforms,11,24,0.458,0.421,1.087
IND,Individual,Reimbursement,P4,CMS pilot/demonstration,5,24,0.208,0.111,1.879
IND,Individual,Reimbursement,P2,Value-based payment,4,24,0.167,0.221,0.754
IND,Individual,Reimbursement,P3,Remove FFS barriers,2,24,0.083,0.061,1.367
IND,Individual,Reimbursement,P1,AI-specific payment pathways,2,24,0.083,0.186,0.447
IND,Individual,Interoperability,D2,Expand data types,26,40,0.65,0.51,1.274
IND,Individual,Interoperability,D1,Strengthen current standards,5,40,0.125,0.334,0.374
IND,Individual,Interoperability,D3,Patient-controlled data,4,40,0.1,0.038,2.636
IND,Individual,Interoperability,D5,Federal data infrastructure,3,40,0.075,0.045,1.673
IND,Individual,Interoperability,D4,Prevent gatekeeping,2,40,0.05,0.072,0.69
IND,Individual,Evaluation,E3,Full lifecycle,32,56,0.571,0.789,0.723
IND,Individual,Evaluation,E5,Federal evaluation infrastructure,12,56,0.214,0.073,2.93
IND,Individual,Evaluation,E1,Pre-market validation primary,6,56,0.107,0.039,2.721
IND,Individual,Evaluation,E2,Post-market monitoring primary,5,56,0.089,0.056,1.584
IND,Individual,Evaluation,E4,Developer-led,1,56,0.018,0.042,0.427
LAB,Labor,Human oversight,H2,Risk-tiered oversight,3,4,0.75,0.657,1.142
LAB,Labor,Human oversight,H1,Universal mandatory oversight,1,4,0.25,0.314,0.797
LAB,Labor,Regulatory approach,R3,Clarify existing rules,4,5,0.8,0.348,2.301
LAB,Labor,Regulatory approach,R2,Risk-tiered adaptation,1,5,0.2,0.289,0.691
LAB,Labor,Liability allocation,L2,Shared/distributed liability,1,1,1.0,0.622,1.608
LAB,Labor,Reimbursement,P1,AI-specific payment pathways,3,4,0.75,0.186,4.038
LAB,Labor,Reimbursement,P5,Multiple reforms,1,4,0.25,0.421,0.593
LAB,Labor,Interoperability,D2,Expand data types,3,3,1.0,0.51,1.959
LAB,Labor,Evaluation,E3,Full lifecycle,4,4,1.0,0.789,1.267
MPS,Medical society,Human oversight,H1,Universal mandatory oversight,26,51,0.51,0.314,1.626
MPS,Medical society,Human oversight,H2,Risk-tiered oversight,25,51,0.49,0.657,0.746
MPS,Medical society,Regulatory approach,R3,Clarify existing rules,15,46,0.326,0.348,0.938
MPS,Medical society,Regulatory approach,R2,Risk-tiered adaptation,14,46,0.304,0.289,1.051
MPS,Medical society,Regulatory approach,R1,New AI-specific regulation,14,46,0.304,0.277,1.099
MPS,Medical society,Regulatory approach,R4,Reduce burden,3,46,0.065,0.046,1.423
MPS,Medical society,Liability allocation,L2,Shared/distributed liability,20,32,0.625,0.622,1.005
MPS,Medical society,Liability allocation,L1,Increase developer accountability,6,32,0.188,0.105,1.79
MPS,Medical society,Liability allocation,L4,Federal safe harbor,4,32,0.125,0.21,0.595
MPS,Medical society,Liability allocation,L5,New legal framework,2,32,0.062,0.055,1.135
MPS,Medical society,Reimbursement,P5,Multiple reforms,13,29,0.448,0.421,1.063
MPS,Medical society,Reimbursement,P1,AI-specific payment pathways,9,29,0.31,0.186,1.669
MPS,Medical society,Reimbursement,P2,Value-based payment,4,29,0.138,0.221,0.623
MPS,Medical society,Reimbursement,P3,Remove FFS barriers,2,29,0.069,0.061,1.136
MPS,Medical society,Reimbursement,P4,CMS pilot/demonstration,1,29,0.034,0.111,0.307
MPS,Medical society,Interoperability,D1,Strengthen current standards,17,35,0.486,0.334,1.453
MPS,Medical society,Interoperability,D2,Expand data types,12,35,0.343,0.51,0.672
MPS,Medical society,Interoperability,D4,Prevent gatekeeping,3,35,0.086,0.072,1.188
MPS,Medical society,Interoperability,D5,Federal data infrastructure,2,35,0.057,0.045,1.272
MPS,Medical society,Interoperability,D3,Patient-controlled data,1,35,0.029,0.038,0.765
MPS,Medical society,Evaluation,E3,Full lifecycle,37,44,0.841,0.789,1.065
MPS,Medical society,Evaluation,E1,Pre-market validation primary,6,44,0.136,0.039,3.458
MPS,Medical society,Evaluation,E4,Developer-led,1,44,0.023,0.042,0.546
PAY,Payer,Human oversight,H2,Risk-tiered oversight,7,10,0.7,0.657,1.066
PAY,Payer,Human oversight,H1,Universal mandatory oversight,3,10,0.3,0.314,0.956
PAY,Payer,Regulatory approach,R2,Risk-tiered adaptation,5,10,0.5,0.289,1.728
PAY,Payer,Regulatory approach,R3,Clarify existing rules,3,10,0.3,0.348,0.863
PAY,Payer,Regulatory approach,R1,New AI-specific regulation,2,10,0.2,0.277,0.723
PAY,Payer,Liability allocation,L4,Federal safe harbor,2,4,0.5,0.21,2.38
PAY,Payer,Liability allocation,L2,Shared/distributed liability,1,4,0.25,0.622,0.402
PAY,Payer,Liability allocation,L1,Increase developer accountability,1,4,0.25,0.105,2.38
PAY,Payer,Reimbursement,P5,Multiple reforms,3,7,0.429,0.421,1.018
PAY,Payer,Reimbursement,P2,Value-based payment,3,7,0.429,0.221,1.937
PAY,Payer,Reimbursement,P3,Remove FFS barriers,1,7,0.143,0.061,2.355
PAY,Payer,Interoperability,D1,Strengthen current standards,4,7,0.571,0.334,1.707
PAY,Payer,Interoperability,D2,Expand data types,2,7,0.286,0.51,0.56
PAY,Payer,Interoperability,D4,Prevent gatekeeping,1,7,0.143,0.072,1.975
PAY,Payer,Evaluation,E3,Full lifecycle,8,9,0.889,0.789,1.126
PAY,Payer,Evaluation,E2,Post-market monitoring primary,1,9,0.111,0.056,1.976
POL,Policy/academic,Human oversight,H2,Risk-tiered oversight,7,10,0.7,0.657,1.066
POL,Policy/academic,Human oversight,H1,Universal mandatory oversight,2,10,0.2,0.314,0.638
POL,Policy/academic,Human oversight,H4,Autonomous OK,1,10,0.1,0.008,12.433
POL,Policy/academic,Regulatory approach,R3,Clarify existing rules,5,11,0.455,0.348,1.309
POL,Policy/academic,Regulatory approach,R1,New AI-specific regulation,3,11,0.273,0.277,0.987
POL,Policy/academic,Regulatory approach,R2,Risk-tiered adaptation,3,11,0.273,0.289,0.944
POL,Policy/academic,Liability allocation,L2,Shared/distributed liability,3,5,0.6,0.622,0.965
POL,Policy/academic,Liability allocation,L5,New legal framework,1,5,0.2,0.055,3.662
POL,Policy/academic,Liability allocation,L4,Federal safe harbor,1,5,0.2,0.21,0.952
POL,Policy/academic,Reimbursement,P1,AI-specific payment pathways,2,6,0.333,0.186,1.793
POL,Policy/academic,Reimbursement,P5,Multiple reforms,2,6,0.333,0.421,0.79
POL,Policy/academic,Reimbursement,P4,CMS pilot/demonstration,1,6,0.167,0.111,1.508
POL,Policy/academic,Reimbursement,P2,Value-based payment,1,6,0.167,0.221,0.754
POL,Policy/academic,Interoperability,D1,Strengthen current standards,3,5,0.6,0.334,1.794
POL,Policy/academic,Interoperability,D2,Expand data types,2,5,0.4,0.51,0.784
POL,Policy/academic,Evaluation,E3,Full lifecycle,10,10,1.0,0.789,1.267
TEC,Tech/pharma,Human oversight,H2,Risk-tiered oversight,4,5,0.8,0.657,1.218
TEC,Tech/pharma,Human oversight,H1,Universal mandatory oversight,1,5,0.2,0.314,0.638
TEC,Tech/pharma,Regulatory approach,R2,Risk-tiered adaptation,4,7,0.571,0.289,1.973
TEC,Tech/pharma,Regulatory approach,R3,Clarify existing rules,1,7,0.143,0.348,0.411
TEC,Tech/pharma,Regulatory approach,R1,New AI-specific regulation,1,7,0.143,0.277,0.517
TEC,Tech/pharma,Regulatory approach,R5,Industry self-governance,1,7,0.143,0.041,3.521
TEC,Tech/pharma,Liability allocation,L2,Shared/distributed liability,3,4,0.75,0.622,1.206
TEC,Tech/pharma,Liability allocation,L5,New legal framework,1,4,0.25,0.055,4.577
TEC,Tech/pharma,Reimbursement,P4,CMS pilot/demonstration,2,5,0.4,0.111,3.613
TEC,Tech/pharma,Reimbursement,P3,Remove FFS barriers,1,5,0.2,0.061,3.294
TEC,Tech/pharma,Reimbursement,P2,Value-based payment,1,5,0.2,0.221,0.903
TEC,Tech/pharma,Reimbursement,P5,Multiple reforms,1,5,0.2,0.421,0.475
TEC,Tech/pharma,Interoperability,D1,Strengthen current standards,4,7,0.571,0.334,1.707
TEC,Tech/pharma,Interoperability,D2,Expand data types,3,7,0.429,0.51,0.841
TEC,Tech/pharma,Evaluation,E3,Full lifecycle,6,8,0.75,0.789,0.95
TEC,Tech/pharma,Evaluation,E5,Federal evaluation infrastructure,1,8,0.125,0.073,1.712
TEC,Tech/pharma,Evaluation,E2,Post-market monitoring primary,1,8,0.125,0.056,2.225
