stakeholder,stakeholder_label,axis,n_addressing,address_rate,modal_stance,modal_stance_label,modal_n,modal_share_of_addressing,modal_share_ci_lo,modal_share_ci_hi
MPS,Medical society,Reimbursement,29,0.537,P5,Multiple reforms,13,0.448,0.284,0.625
MPS,Medical society,Interoperability,35,0.648,D1,Strengthen current standards,17,0.486,0.33,0.644
MPS,Medical society,Evaluation,44,0.815,E3,Full lifecycle,37,0.841,0.706,0.921
PAY,Payer,Human oversight,10,1.0,H2,Risk-tiered oversight,7,0.7,0.397,0.892
PAY,Payer,Regulatory approach,10,1.0,R2,Risk-tiered adaptation,5,0.5,0.237,0.763
PAY,Payer,Liability allocation,4,0.4,L4,Federal safe harbor,2,0.5,0.15,0.85
PAY,Payer,Reimbursement,7,0.7,P5,Multiple reforms,3,0.429,0.158,0.75
PAY,Payer,Interoperability,7,0.7,D1,Strengthen current standards,4,0.571,0.25,0.842
PAY,Payer,Evaluation,9,0.9,E3,Full lifecycle,8,0.889,0.565,0.98
POL,Policy/academic,Human oversight,10,0.909,H2,Risk-tiered oversight,7,0.7,0.397,0.892
POL,Policy/academic,Regulatory approach,11,1.0,R3,Clarify existing rules,5,0.455,0.213,0.72
POL,Policy/academic,Liability allocation,5,0.455,L2,Shared/distributed liability,3,0.6,0.231,0.882
POL,Policy/academic,Reimbursement,6,0.545,P1,AI-specific payment pathways,2,0.333,0.097,0.7
POL,Policy/academic,Interoperability,5,0.455,D1,Strengthen current standards,3,0.6,0.231,0.882
POL,Policy/academic,Evaluation,10,0.909,E3,Full lifecycle,10,1.0,0.722,1.0
TEC,Tech/pharma,Human oversight,5,0.625,H2,Risk-tiered oversight,4,0.8,0.376,0.964
TEC,Tech/pharma,Regulatory approach,7,0.875,R2,Risk-tiered adaptation,4,0.571,0.25,0.842
TEC,Tech/pharma,Liability allocation,4,0.5,L2,Shared/distributed liability,3,0.75,0.301,0.954
TEC,Tech/pharma,Reimbursement,5,0.625,P4,CMS pilot/demonstration,2,0.4,0.118,0.769
TEC,Tech/pharma,Interoperability,7,0.875,D1,Strengthen current standards,4,0.571,0.25,0.842
TEC,Tech/pharma,Evaluation,8,1.0,E3,Full lifecycle,6,0.75,0.409,0.929
